brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Toyota,Vitz,Scp90 1.3 Push Start,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","168,000 km",5400000
Toyota,Vitz,Safety Edition,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,193 km",7350000
Honda,Fit,GP 1,2011,Used,Automatic,Hatchback,Petrol,"1,300 cc","128,000 km",6200000
Toyota,Vitz,Safety Edition 1,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","98,000 km",7695000
Chery,QQ,,2007,Used,Automatic,Hatchback,Petrol,812 cc,"108,854 km",2275000
Toyota,Vitz,2007,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","200,000 km",5375000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","150,000 km",6900000
Toyota,Pixis,Joy G Grade,2018,Used,Automatic,Hatchback,Petrol,650 cc,"76,000 km",6485000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,990 cc,"170,000 km",5800000
Toyota,Aqua,G Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","142,100 km",7050000
Toyota,Wigo,,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,000 km",6600000
Toyota,Aqua,,2013,Used,Automatic,Hatchback,Hybrid,"1,490 cc","140,000 km",7600000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,496 cc","110,000 km",7225000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","82,000 km",7000000
Toyota,Vitz,Edition 1,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","45,000 km",7690000
Toyota,Aqua,G-Soft Leather,2015,Used,Automatic,Hatchback,Hybrid,"1,496 cc","93,000 km",7850000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","173,000 km",7500000
Toyota,Vitz,G 2nd edition,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","54,000 km",8400000
Toyota,Vitz,2016,2016,Used,Automatic,Hatchback,Petrol,990 cc,"80,000 km",7200000
Toyota,Pixis,Full Option,2016,Used,Automatic,Hatchback,Petrol,650 cc,"60,000 km",5475000
Toyota,Vitz,DBA KSP -130 VITZ,2018,Used,Automatic,Hatchback,Petrol,990 cc,"37,770 km",8650000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,000 km",7000000
Toyota,Vitz,SAFETY,2018,Used,Automatic,Hatchback,Petrol,990 cc,"76,000 km",7990000
Toyota,Passo,2011,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","118,000 km",4975000
Toyota,Passo,PUSH START SAFETY,2016,Used,Automatic,Hatchback,Petrol,990 cc,"95,568 km",6890000
Toyota,Prius,G Sola Sunroof,2010,Used,Automatic,Hatchback,Hybrid,"1,798 cc","184,500 km",9550000
Toyota,Vitz,,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","166,000 km",6900000
Toyota,Aqua,,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","170,000 km",7250000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","162,000 km",5350000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","112,443 km",7250000
Toyota,Vitz,Safety Edition 1,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","38,000 km",7550000
Toyota,Aqua,Xurban,2015,Used,Automatic,Hatchback,Hybrid,"1,496 cc","83,000 km",8750000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,000 km",7950000
Toyota,Vitz,Safety Edition 3,2019,Used,Automatic,Hatchback,Petrol,990 cc,"100,005 km",8650000
Toyota,Passo,Toyota Passo 2013,2013,Used,Automatic,Hatchback,Petrol,"1,000 cc","97,601 km",5800000
Toyota,Wigo,Wigo,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","81,500 km",6450000
Toyota,Vitz,2019,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","82,500 km",9200000
Toyota,Aqua,G Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","176,000 km",7150000
Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","69,000 km",8650000
Toyota,Vitz,,2018,Used,Automatic,Hatchback,Petrol,990 cc,"78,982 km",8500000
Toyota,Vitz,Safety Push Start,2016,Used,Automatic,Hatchback,Petrol,990 cc,"102,000 km",7200000
Toyota,Aqua,X URBAN,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","86,000 km",8900000
Toyota,Vitz,Toyota,2017,Used,Automatic,Hatchback,Petrol,990 cc,"74,800 km",8300000
Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,990 cc,"72,000 km",8350000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,990 cc,"133,622 km",7375000
Toyota,Roomy,Custom GT,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","52,640 km",9850000
Toyota,Vitz,X-SAFETY,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","139,000 km",6990000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","97,000 km",7500000
Toyota,Aqua,X Urban,2015,Used,Automatic,Hatchback,Hybrid,"1,490 cc","157,689 km",8900000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","49,385 km",7100000
Toyota,Aqua,S Limited,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","218,700 km",7200000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,990 cc,"62,652 km",5850000
Toyota,Yaris,X,2024,Used,Automatic,Hatchback,Petrol,"1,000 cc","5,000 km",9000000
Toyota,Vitz,Edition 02,2018,Used,Automatic,Hatchback,Petrol,900 cc,"36,000 km",8900000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Petrol,"1,496 cc","156,000 km",7300000
Toyota,Vitz,Edition 3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","117,000 km",8150000
Toyota,Pixis,JOY,2018,Used,Automatic,Hatchback,Petrol,650 cc,"41,195 km",6890000
Toyota,Aqua,S Grade,2013,Used,Automatic,Hatchback,Hybrid,"1,496 cc","200,000 km",7200000
Toyota,Vitz,,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","46,000 km",8150000
Toyota,Vitz,Toyota Vitz,2008,Used,Automatic,Hatchback,Petrol,990 cc,"145,000 km",5300000
Toyota,Aqua,S Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","111,000 km",7000000
Toyota,Aqua,2013,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","88,000 km",7100000
Toyota,Vitz,,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","61,000 km",6700000
Toyota,Vitz,KSP 90,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","157,000 km",5100000
Toyota,Vitz,,2017,Used,Automatic,Hatchback,Petrol,990 cc,"96,457 km",7690000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","53,000 km",7800000
Toyota,Vitz,Vitz 2019,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","88,600 km",8400000
Toyota,Aqua,S Limited,2013,Used,Automatic,Hatchback,Hybrid,"1,496 cc","161,000 km",7650000
Toyota,Aqua,S Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,490 cc","89,000 km",7590001
Toyota,Vitz,Edition 3,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","35,000 km",8650000
Toyota,Vitz,2 Editions,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","79,000 km",7825000
Toyota,Aqua,,2012,Used,Automatic,Hatchback,Hybrid,"1,500 cc","142,000 km",6475000
Toyota,Vitz,KSP130,2017,Used,Automatic,Hatchback,Petrol,990 cc,"55,470 km",7990000
Toyota,Vitz,2017,2017,Used,Automatic,Hatchback,Petrol,990 cc,"56,000 km",8200000
Toyota,Yaris,X Grade Facelift,2025,Used,Automatic,Hatchback,Petrol,"1,000 cc",243 km,9950000
Toyota,Vitz,1st Edition,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","41,500 km",7950000
Toyota,Wigo,G Grade,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","129,000 km",5600000
Toyota,Aqua,2013,2013,Used,Automatic,Hatchback,Hybrid,"1,500 cc","170,000 km",7150000
Toyota,Vitz,Safety Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","74,000 km",7800000
Toyota,Vitz,2015,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","62,530 km",7150000
Toyota,Tank,2017,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","90,000 km",7500000
Toyota,Passo,XL,2023,Used,Automatic,Hatchback,Petrol,996 cc,"7,800 km",8100000
Toyota,Vitz,Safety,2017,Used,Automatic,Hatchback,Petrol,990 cc,"57,600 km",7900000
Toyota,Aqua,Hybrid,2012,Used,Automatic,Hatchback,Hybrid,"1,490 cc","153,339 km",6350000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","149,000 km",7350000
Toyota,Yaris,Auto,2011,Used,Automatic,Hatchback,Petrol,"1,300 cc","124,000 km",6475000
Toyota,Aqua,G Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,200 cc","148,000 km",7700000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,990 cc,"61,000 km",7900000
Toyota,Vitz,Edition 1,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","98,000 km",7500000
Toyota,Vitz,KSP90,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","170,000 km",5090000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,"1,490 cc","156,200 km",7800000
Toyota,Vitz,KSP 90 RS,2010,Used,Automatic,Hatchback,Petrol,"1,300 cc","188,000 km",6100000
Toyota,Prius,Good,2013,Used,Automatic,Hatchback,Hybrid,"1,798 cc","123,000 km",10000000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,"1,490 cc","93,000 km",7800000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","93,000 km",7600000
Toyota,Vitz,,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","80,000 km",8000000
Toyota,Passo,Fully Loaded,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","120,000 km",4600000
Toyota,Aqua,S,2012,Used,Automatic,Hatchback,Petrol,"1,500 cc","166,000 km",6490000
Toyota,Vitz,Safety,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","108,000 km",6950000
Toyota,Aqua,S Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","100,478 km",7990000
Toyota,Yaris,X Grade,2023,Used,Automatic,Hatchback,Petrol,990 cc,"16,990 km",9190000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,500 cc","106,000 km",7350000
Toyota,Vitz,Edition 1,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","37,318 km",8250000
Toyota,Vitz,KSP90  KI-2010,2007,Used,Automatic,Hatchback,Petrol,"1,000 cc","150,000 km",4975000
Toyota,Wigo,,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","66,000 km",6500000
Toyota,Aqua,G Grade,2014,Used,Automatic,Hatchback,Hybrid,"1,490 cc","137,000 km",7850000
Toyota,Yaris,X Grade,2023,Used,Automatic,Hatchback,Petrol,"1,000 cc","61,000 km",8850000
