brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Suzuki,Celerio,Vxi Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","96,000 km",4975000
Suzuki,Alto,Japan Alto 2017,2017,Used,Automatic,Hatchback,Petrol,650 cc,"74,300 km",5350000
Suzuki,Wagon R Stingray,S-Hybrid,2023,Used,Automatic,Hatchback,Petrol,660 cc,"19,760 km",8650000
Suzuki,Wagon R FX,Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"94,885 km",6330000
Suzuki,Swift,Suzuki,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","120,000 km",7500000
Suzuki,Celerio,Vxi Auto,2014,Used,Automatic,Hatchback,Petrol,"1,000 cc","103,000 km",4675000
Suzuki,Wagon R FZ,Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"58,826 km",6950000
Suzuki,Celerio,VXI,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","80,000 km",5225000
Suzuki,Alto,Suzuki,2017,Used,Automatic,Hatchback,Petrol,660 cc,"98,450 km",5400000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"76,675 km",6850000
Suzuki,Baleno,,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","64,000 km",7790000
Suzuki,Spacia,MK42S,2016,Used,Automatic,Hatchback,Petrol,660 cc,"190,000 km",6000000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"89,363 km",6690000
Suzuki,Swift,,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","157,690 km",5250000
Suzuki,Swift,,2017,Used,Automatic,Hatchback,Petrol,990 cc,"78,000 km",7990000
Suzuki,Alto,K10,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","107,800 km",4890000
Suzuki,Wagon R FX,,2017,Used,Automatic,Hatchback,Petrol,650 cc,"106,250 km",6350000
Suzuki,Wagon R FZ,FZ Safety MH55S,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"122,000 km",6750000
Suzuki,Wagon R FX,Suzuki,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"79,000 km",5850000
Suzuki,Wagon R,Suzuki,2018,Used,Automatic,Hatchback,Petrol,650 cc,"105,100 km",6700000
Suzuki,Celerio,Suzuki Celerio VXI,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","60,000 km",5000000
Suzuki,Wagon R,FZ Safety,2017,Used,Automatic,Hatchback,Petrol,660 cc,"85,000 km",7100000
Suzuki,Wagon R Stingray,TURBO / 4WAY / HUD,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"117,000 km",7150000
Suzuki,Wagon R Stingray,2018,2018,Used,Automatic,Hatchback,Hybrid,660 cc,"79,000 km",7200000
Suzuki,Vitara,Vitara,2019,Used,Automatic,Hatchback,Petrol,"1,000 cc","112,939 km",9000000
Suzuki,Swift,2008,2008,Used,Automatic,Hatchback,Petrol,"1,300 cc","144,000 km",5800000
Suzuki,A-Star,,2011,Used,Automatic,Hatchback,Petrol,"1,000 cc","100,000 km",4200000
Suzuki,Wagon R,Wagon R Premium,2018,Used,Automatic,Hatchback,Hybrid,658 cc,"62,800 km",6985000
Suzuki,Celerio,X 1st Owner,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","48,000 km",5825000
Suzuki,Wagon R FX,wagon R,2018,Used,Automatic,Hatchback,Petrol,600 cc,"108,000 km",6100000
Suzuki,Wagon R FZ,Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"76,470 km",6790000
Suzuki,Wagon R FX,Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"119,000 km",6000000
Suzuki,Wagon R Stingray,Safety,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"150,000 km",5750000
Suzuki,Wagon R FX,Non Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"78,195 km",5975000
Suzuki,Celerio,VXI,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","122,000 km",4800000
Suzuki,Wagon R Stingray,Stingray,2019,Used,Automatic,Hatchback,Petrol,660 cc,"79,000 km",7400000
Suzuki,Wagon R Stingray,,2014,Used,Automatic,Hatchback,Petrol,650 cc,"106,000 km",5650000
Suzuki,Alto,L Grade,2023,Used,Automatic,Hatchback,Petrol,650 cc,"5,000 km",6545000
Suzuki,Swift,Rs,2017,Used,Automatic,Hatchback,Hybrid,"1,240 cc","103,323 km",8395000
Suzuki,Wagon R Stingray,,2015,Used,Automatic,Hatchback,Hybrid,660 cc,"140,000 km",5750000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"77,000 km",6800000
Suzuki,Wagon R FZ,Suzuki,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"78,000 km",6175000
Suzuki,Wagon R Stingray,Suzuki Wagon R,2015,Used,Automatic,Hatchback,Hybrid,660 cc,"148,000 km",5650000
Suzuki,Wagon R Stingray,Wagon R Z Custom,2025,Used,Automatic,Hatchback,Hybrid,660 cc,"50,000 km",8800000
Suzuki,Wagon R Stingray,,2017,Used,Automatic,Hatchback,Petrol,650 cc,"63,024 km",7090000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"52,600 km",7000000
Suzuki,Wagon R Stingray,,2014,Used,Automatic,Hatchback,Petrol,660 cc,"109,000 km",5625000
Suzuki,Alto,,2016,Used,Automatic,Hatchback,Petrol,660 cc,"87,800 km",5200000
Suzuki,Celerio,,2015,Used,Automatic,Hatchback,Petrol,996 cc,"130,000 km",5300000
Suzuki,Wagon R FZ,Premium,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"74,156 km",6650000
Suzuki,Swift,RS TURBO,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","112,000 km",8290000
Suzuki,Wagon R,Suzuki,2015,Used,Automatic,Hatchback,Petrol,650 cc,"172,000 km",5650000
Suzuki,Swift,,2017,Used,Automatic,Hatchback,Petrol,990 cc,"117,500 km",7900000
Suzuki,Celerio,ZXI Elegance  Auto,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","129,000 km",5375000
Suzuki,Celerio,VXI Elegance,2016,Used,Automatic,Hatchback,Petrol,"1,000 cc","146,000 km",5250000
Suzuki,Alto,,2007,Used,Automatic,Hatchback,Petrol,650 cc,"132,765 km",4290000
Suzuki,A-Star,,2011,Used,Automatic,Hatchback,Petrol,"1,000 cc","145,000 km",4485000
Suzuki,Wagon R FX,Hybrid,2024,Used,Automatic,Hatchback,Hybrid,660 cc,"3,500 km",7500000
Suzuki,A-Star,,2011,Used,Automatic,Hatchback,Petrol,998 cc,"131,287 km",4590001
Suzuki,Hustler,,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"134,000 km",5850000
Suzuki,Wagon R FZ,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"106,364 km",6590000
Suzuki,Wagon R FX,Suzuki,2017,Used,Automatic,Hatchback,Petrol,660 cc,"107,000 km",6100000
Suzuki,Wagon R FX,2016,2016,Used,Automatic,Hatchback,Petrol,660 cc,"190,000 km",5950000
Suzuki,Celerio,Vxi Auto,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","93,000 km",4925000
Suzuki,Spacia,Custom XS Hybrid,2023,Reconditioned,Automatic,Hatchback,Hybrid,660 cc,"20,000 km",8450000
Suzuki,Wagon R Stingray,,2017,Used,Automatic,Hatchback,Petrol,650 cc,"155,000 km",6850000
Suzuki,Wagon R FX,Safety,2024,Used,Automatic,Hatchback,Petrol,650 cc,"8,000 km",7490000
Suzuki,Wagon R FX,,2016,Used,Automatic,Hatchback,Petrol,650 cc,"48,000 km",5850000
Suzuki,Swift,HYBRID,2017,Used,Automatic,Hatchback,Hybrid,"1,200 cc","60,000 km",8050000
Suzuki,Wagon R FZ,FZ,2017,Used,Automatic,Hatchback,Petrol,650 cc,"81,300 km",6500000
Suzuki,Swift,Beetle,2011,Used,Automatic,Hatchback,Petrol,"1,240 cc","15,600 km",5495000
Suzuki,Celerio,ZXI,2017,Used,Automatic,Hatchback,Petrol,998 cc,"108,700 km",5500000
Suzuki,Wagon R FZ,Safety,2015,Used,Automatic,Hatchback,Hybrid,650 cc,"84,900 km",5990000
Suzuki,A-Star,BRAND NEW,2013,Used,Automatic,Hatchback,Petrol,"1,000 cc","94,000 km",4475000
Suzuki,Wagon R,Suzuki,2017,Used,Automatic,Hatchback,Petrol,650 cc,"45,000 km",6500000
Suzuki,Wagon R Stingray,Suzuki,2014,Used,Automatic,Hatchback,Petrol,650 cc,"178,000 km",5520000
Suzuki,Celerio,VXI,2015,Used,Automatic,Hatchback,Petrol,996 cc,"87,570 km",5275000
Suzuki,Wagon R FX,Safety,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"146,982 km",6375000
Suzuki,Wagon R FZ,Premium,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"74,273 km",6895002
Suzuki,Wagon R FZ,Safety,2014,Used,Automatic,Hatchback,Hybrid,650 cc,"94,211 km",5575000
Suzuki,A-Star,,2013,Used,Automatic,Hatchback,Petrol,998 cc,"116,811 km",4690000
Suzuki,Hustler,G Grade Hybrid,2024,Import,Automatic,Hatchback,Hybrid,650 cc,"18,326 km",8000000
Suzuki,Spacia,Suzuki,2016,Used,Automatic,Hatchback,Petrol,650 cc,"112,000 km",6275000
Suzuki,Hustler,Suzuki,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"130,000 km",5700000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"68,311 km",6895000
Suzuki,Swift,Beetle 2008 Japan,2008,Used,Automatic,Hatchback,Petrol,"1,300 cc","119,220 km",5290000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","93,000 km",7600000
Suzuki,Swift,RS Turbo,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","97,000 km",8400000
Suzuki,Wagon R FX,2025/09,2023,Used,Automatic,Hatchback,Hybrid,650 cc,"10,000 km",7290000
Suzuki,Wagon R Stingray,J style,2014,Used,Automatic,Hatchback,Hybrid,660 cc,"88,000 km",5675000
Suzuki,Wagon R FZ,Wagon R FZ,2017,Used,Automatic,Hatchback,Hybrid,660 cc,"126,000 km",6200000
Suzuki,Swift,2007,2007,Used,Automatic,Hatchback,Petrol,"1,300 cc","142,000 km",5300000
Suzuki,Swift,,2005,Used,Automatic,Hatchback,Petrol,"1,320 cc","173,785 km",5250000
Suzuki,Wagon R Stingray,,2018,Used,Automatic,Hatchback,Hybrid,650 cc,"59,392 km",6990002
Suzuki,Swift,RS Hybrid,2017,Used,Automatic,Hatchback,Petrol,"1,200 cc","70,000 km",8900000
Suzuki,Wagon R FZ,Safety 4 way Camera,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"87,645 km",6890000
Suzuki,Wagon R FX,Safety,2017,Used,Automatic,Hatchback,Hybrid,650 cc,"82,699 km",6090000
Suzuki,Hustler,G,2024,Used,Automatic,Hatchback,Petrol,650 cc,"9,500 km",8250000
