mileage,engine_capacity,manufacture_year,model,fuel_type_Petrol,price
94781,990,2015,Vitz,True,7190000
89520,990,2017,Vitz,True,7575000
81000,1496,2016,Aqua,False,9000000
93737,1000,2017,Vitz,True,7850000
74179,1496,2013,Aqua,False,6950000
9000,1000,2024,Yaris,True,9490000
176000,1800,2013,Prius,True,9950000
105400,1000,2016,Vitz,True,7150000
182150,1490,2014,Aqua,False,7490000
42000,1000,2017,Vitz,True,7500000
200500,1000,2008,Vitz,True,5450000
64000,990,2017,Vitz,True,7950000
48000,1500,2013,Aqua,True,8300000
47000,990,2018,Vitz,True,8500000
128000,1500,2012,Aqua,False,6600000
158000,1500,2013,Aqua,False,7980000
41000,1000,2018,Vitz,True,9000000
58000,1000,2018,Vitz,True,7650000
93000,1000,2008,Vitz,True,5500000
180000,1490,2015,Aqua,False,8200000
188499,1500,2015,Aqua,False,7850000
182000,1500,2008,Prius,False,6350000
140000,990,2008,Vitz,True,5500000
120000,1500,2015,Aqua,False,7900000
187000,1500,2011,Prius,False,6950000
92000,1000,2018,Vitz,True,7850000
165000,1000,2010,Passo,True,4980000
118000,1000,2015,Vitz,True,6575000
167000,1300,2008,Vitz,True,5900000
55679,990,2019,Vitz,True,8500000
10359,650,2022,Pixis,True,7195000
66057,1000,2008,Vitz,True,5750000
113000,1500,2014,Aqua,True,7600000
110000,1300,2007,Vitz,True,5250000
48000,996,2019,Passo,True,7490000
146504,1490,2012,Aqua,False,7690000
124000,1000,2014,Passo,True,5550000
125000,1000,2015,Vitz,True,7200000
105322,990,2018,Vitz,True,8500000
101000,1500,2012,Aqua,True,7250000
159051,1496,2014,Aqua,False,7800000
96214,998,2017,Wigo,True,5950000
95000,1000,2019,Vitz,True,8250000
70000,1000,2019,Vitz,True,8500000
32000,990,2018,Vitz,True,8750000
90706,1000,2015,Vitz,True,7250000
162000,1500,2013,Aqua,True,7350000
53200,990,2017,Vitz,True,7800000
113000,1000,2015,Vitz,True,7150000
14772,1000,2019,Vitz,True,9000000
145000,1000,2019,Vitz,True,7800000
99000,1000,2017,Swift,True,7750000
160000,1500,2013,Aqua,True,7800000
125000,1500,2014,Aqua,True,8000000
130456,1000,2009,Vitz,True,5550000
158600,1500,2014,Aqua,False,7390000
88300,1500,2013,Aqua,False,7450000
30000,1000,2019,Vitz,True,8450000
120609,1500,2007,Vitz,True,5300000
54844,1000,2015,Vitz,True,7600000
250000,2500,2008,Ist,True,6400000
146000,1498,2012,Aqua,False,7450000
87500,1000,2016,Vitz,True,7650000
120715,1500,2012,Aqua,True,7250000
139000,1500,2012,Aqua,True,7525000
69668,990,2018,Vitz,True,8390000
170000,1300,2007,Vitz,True,5475000
134000,1000,2016,Vitz,True,6950000
95273,990,2013,Passo,True,6290000
78933,990,2018,Vitz,True,8090000
168000,1300,2007,Vitz,True,5400000
93193,1000,2016,Vitz,True,7350000
128000,1300,2011,Fit,True,6200000
98000,1000,2018,Vitz,True,7695000
